x,y1,y2,y3,y4
-20.0,-9.015896,-23995.36,0.42561725,-1.794498
-19.9,-8.830765,-23636.703,0.07318272,-1.1478946
-19.8,-9.343907,-23281.96,0.2767288,-1.4011887
-19.7,-9.461959,-22931.111,0.78914136,-1.4093901
-19.6,-9.509697,-22583.334,0.20122954,-1.8082427
-19.5,-8.907388,-22239.139,0.23896667,-1.754812
-19.4,-9.847559,-21898.68,0.34228796,-1.2534401
-19.3,-9.174268,-21561.85,0.74246126,-1.5314232
-19.2,-10.041871,-21228.951,0.73083687,-1.3796967
-19.1,-9.396318,-20898.746,1.0818636,-1.2499492
-19.0,-9.85171,-20571.758,1.2654526,-1.3261292
-18.9,-10.253026,-20248.695,1.0980347,-1.0494097
-18.8,-9.72283,-19928.809,0.9809123,-0.7741878
-18.7,-9.817914,-19612.865,0.7668957,-0.85445154
-18.6,-10.15548,-19299.14,1.1513485,-1.1818695
-18.5,-10.267695,-18989.588,1.1863424,-0.6164129
-18.4,-10.745038,-18683.44,0.35185596,-0.15262997
-18.3,-10.957129,-18380.725,1.0208035,0.14682376
-18.2,-10.576577,-18081.135,1.1819988,0.19730294
-18.1,-10.187137,-17784.035,0.21042779,0.35686517
-18.0,-10.6297245,-17490.787,0.25369778,0.1988734
-17.9,-10.946639,-17201.148,0.3990405,-0.20283523
-17.8,-10.857518,-16914.316,0.08578812,0.5395792
-17.7,-10.636942,-16630.258,0.28316113,0.8280445
-17.6,-10.652367,-16349.889,-0.017346775,0.34442368
-17.5,-10.615499,-16073.515,0.18395467,0.54701424
-17.4,-10.600901,-15798.713,0.36874783,1.215722
-17.3,-10.558997,-15528.285,-0.44595227,1.1350133
-17.2,-11.399223,-15260.355,-0.28933784,1.4622725
-17.1,-10.662771,-14996.09,-0.3413792,1.2736915
-17.0,-10.46926,-14733.682,-0.7542934,1.4183754
-16.9,-10.630161,-14475.1875,-0.10203214,1.5657619
-16.8,-10.56421,-14220.084,-0.80361253,1.1152977
-16.7,-10.367186,-13967.637,-0.91323763,1.2177055
-16.6,-10.368614,-13717.591,-0.6021023,1.2071302
-16.5,-10.694625,-13471.36,-0.16748546,1.0490712
-16.4,-10.490518,-13227.994,-0.33348674,0.9185929
-16.3,-10.828349,-12987.684,-0.57526314,1.0708258
-16.2,-10.6680765,-12749.29,-0.5657199,1.7907002
-16.1,-10.627233,-12515.116,-0.501492,1.5962652
-16.0,-10.32686,-12283.116,-0.43156102,1.726752
-15.9,-9.931555,-12054.078,-0.7199165,1.1662539
-15.8,-10.215057,-11827.737,-1.3016713,0.6314995
-15.7,-10.188055,-11604.475,-0.76875216,0.6952998
-15.6,-9.692648,-11384.335,-1.1131452,0.60290736
-15.5,-9.78075,-11166.937,-0.5368414,1.0884902
-15.4,-9.248166,-10952.255,-0.8551953,0.16904713
-15.3,-9.998315,-10739.477,-1.1818199,0.9308563
-15.2,-9.078714,-10530.525,-0.65277255,0.13395976
-15.1,-9.763932,-10323.75,-0.5324802,0.2621303
-15.0,-9.11702,-10119.905,-1.1156482,0.06389384
-14.9,-8.9033785,-9918.476,-1.1252038,-0.49536073
-14.8,-9.041701,-9720.287,-0.14286216,0.12584603
